home_team,away_team,game_date,home_result
Los Angeles Lakers,Memphis Grizzlies,26 February 2016,L
Dallas Mavericks,Denver Nuggets,26 February 2016,W
Sacramento Kings,LA Clippers,26 February 2016,L
Indiana Pacers,Charlotte Hornets,26 February 2016,L
Atlanta Hawks,Chicago Bulls,26 February 2016,W
New York Knicks,Orlando Magic,26 February 2016,W
Toronto Raptors,Cleveland Cavaliers,26 February 2016,W
Chicago Bulls,Portland Trail Blazers,27 February 2016,L
Utah Jazz,Brooklyn Nets,27 February 2016,L
Oklahoma City Thunder,Golden State Warriors,27 February 2016,L
Milwaukee Bucks,Detroit Pistons,27 February 2016,L
Houston Rockets,San Antonio Spurs,27 February 2016,L
New Orleans Pelicans,Minnesota Timberwolves,27 February 2016,L
Phoenix Suns,Memphis Grizzlies,27 February 2016,W
Boston Celtics,Miami Heat,27 February 2016,W
Dallas Mavericks,Minnesota Timberwolves,28 February 2016,W
Washington Wizards,Cleveland Cavaliers,28 February 2016,W
Indiana Pacers,Portland Trail Blazers,28 February 2016,L
Atlanta Hawks,Charlotte Hornets,28 February 2016,W
Orlando Magic,Philadelphia 76ers,28 February 2016,W
Detroit Pistons,Toronto Raptors,28 February 2016,W
New York Knicks,Miami Heat,28 February 2016,L
Milwaukee Bucks,Houston Rockets,29 February 2016,W
Sacramento Kings,Oklahoma City Thunder,29 February 2016,L
Boston Celtics,Utah Jazz,29 February 2016,W
Denver Nuggets,Memphis Grizzlies,29 February 2016,L
LA Clippers,Brooklyn Nets,29 February 2016,W
Washington Wizards,Philadelphia 76ers,29 February 2016,W
Cleveland Cavaliers,Indiana Pacers,29 February 2016,W
Golden State Warriors,Atlanta Hawks,01 March 2016,W
Miami Heat,Chicago Bulls,01 March 2016,W
Charlotte Hornets,Phoenix Suns,01 March 2016,W
Los Angeles Lakers,Brooklyn Nets,01 March 2016,W
Dallas Mavericks,Orlando Magic,01 March 2016,W
New York Knicks,Portland Trail Blazers,01 March 2016,L
Philadelphia 76ers,Charlotte Hornets,02 March 2016,L
Toronto Raptors,Utah Jazz,02 March 2016,W
San Antonio Spurs,Detroit Pistons,02 March 2016,W
Houston Rockets,New Orleans Pelicans,02 March 2016,W
Milwaukee Bucks,Indiana Pacers,02 March 2016,L
Minnesota Timberwolves,Washington Wizards,02 March 2016,L
Denver Nuggets,Los Angeles Lakers,02 March 2016,W
LA Clippers,Oklahoma City Thunder,02 March 2016,W
Memphis Grizzlies,Sacramento Kings,02 March 2016,W
Orlando Magic,Chicago Bulls,02 March 2016,W
Boston Celtics,Portland Trail Blazers,02 March 2016,W
Miami Heat,Phoenix Suns,03 March 2016,W
Dallas Mavericks,Sacramento Kings,03 March 2016,L
New Orleans Pelicans,San Antonio Spurs,03 March 2016,L
Golden State Warriors,Oklahoma City Thunder,03 March 2016,W
Milwaukee Bucks,Minnesota Timberwolves,04 March 2016,W
Denver Nuggets,Brooklyn Nets,04 March 2016,L
Memphis Grizzlies,Utah Jazz,04 March 2016,W
Orlando Magic,Phoenix Suns,04 March 2016,L
Cleveland Cavaliers,Washington Wizards,04 March 2016,W
Philadelphia 76ers,Miami Heat,04 March 2016,L
Los Angeles Lakers,Atlanta Hawks,04 March 2016,L
Boston Celtics,New York Knicks,04 March 2016,W
Toronto Raptors,Portland Trail Blazers,04 March 2016,W
Charlotte Hornets,Indiana Pacers,04 March 2016,W
San Antonio Spurs,Sacramento Kings,05 March 2016,W
LA Clippers,Atlanta Hawks,05 March 2016,L
Chicago Bulls,Houston Rockets,05 March 2016,W
Minnesota Timberwolves,Brooklyn Nets,05 March 2016,W
New Orleans Pelicans,Utah Jazz,05 March 2016,L
Washington Wizards,Indiana Pacers,05 March 2016,L
New York Knicks,Detroit Pistons,05 March 2016,W
Cleveland Cavaliers,Boston Celtics,05 March 2016,W
Memphis Grizzlies,Phoenix Suns,06 March 2016,L
Toronto Raptors,Houston Rockets,06 March 2016,L
Detroit Pistons,Portland Trail Blazers,06 March 2016,W
Denver Nuggets,Dallas Mavericks,06 March 2016,W
Miami Heat,Philadelphia 76ers,06 March 2016,W
Milwaukee Bucks,Oklahoma City Thunder,06 March 2016,L
Los Angeles Lakers,Golden State Warriors,06 March 2016,W
Charlotte Hornets,Minnesota Timberwolves,07 March 2016,W
Cleveland Cavaliers,Memphis Grizzlies,07 March 2016,L
New Orleans Pelicans,Sacramento Kings,07 March 2016,W
Indiana Pacers,San Antonio Spurs,07 March 2016,W
Golden State Warriors,Orlando Magic,07 March 2016,W
Dallas Mavericks,LA Clippers,07 March 2016,L
Chicago Bulls,Milwaukee Bucks,07 March 2016,W
Minnesota Timberwolves,San Antonio Spurs,08 March 2016,L
Denver Nuggets,New York Knicks,08 March 2016,W
Portland Trail Blazers,Washington Wizards,08 March 2016,W
Toronto Raptors,Brooklyn Nets,08 March 2016,W
Los Angeles Lakers,Orlando Magic,08 March 2016,W
Utah Jazz,Atlanta Hawks,08 March 2016,L
Sacramento Kings,Cleveland Cavaliers,09 March 2016,L
Dallas Mavericks,Detroit Pistons,09 March 2016,L
Phoenix Suns,New York Knicks,09 March 2016,L
Milwaukee Bucks,Miami Heat,09 March 2016,W
Philadelphia 76ers,Houston Rockets,09 March 2016,L
Charlotte Hornets,New Orleans Pelicans,09 March 2016,W
Golden State Warriors,Utah Jazz,09 March 2016,W
Oklahoma City Thunder,LA Clippers,09 March 2016,W
Boston Celtics,Memphis Grizzlies,09 March 2016,W
Toronto Raptors,Atlanta Hawks,10 March 2016,W
Los Angeles Lakers,Cleveland Cavaliers,10 March 2016,L
Denver Nuggets,Phoenix Suns,10 March 2016,W
San Antonio Spurs,Chicago Bulls,10 March 2016,W
Golden State Warriors,Portland Trail Blazers,11 March 2016,W
Memphis Grizzlies,New Orleans Pelicans,11 March 2016,W
Oklahoma City Thunder,Minnesota Timberwolves,11 March 2016,L
Utah Jazz,Washington Wizards,11 March 2016,W
Boston Celtics,Houston Rockets,11 March 2016,L
Philadelphia 76ers,Brooklyn Nets,11 March 2016,W
Charlotte Hornets,Detroit Pistons,11 March 2016,W
Chicago Bulls,Miami Heat,11 March 2016,L
LA Clippers,New York Knicks,11 March 2016,W
Sacramento Kings,Orlando Magic,11 March 2016,L
Golden State Warriors,Phoenix Suns,12 March 2016,W
Philadelphia 76ers,Detroit Pistons,12 March 2016,L
Denver Nuggets,Washington Wizards,12 March 2016,W
Charlotte Hornets,Houston Rockets,12 March 2016,W
Dallas Mavericks,Indiana Pacers,12 March 2016,L
San Antonio Spurs,Oklahoma City Thunder,12 March 2016,W
Portland Trail Blazers,Orlando Magic,12 March 2016,W
Atlanta Hawks,Memphis Grizzlies,12 March 2016,W
Milwaukee Bucks,New Orleans Pelicans,12 March 2016,W
Toronto Raptors,Miami Heat,12 March 2016,W
Atlanta Hawks,Indiana Pacers,13 March 2016,W
Sacramento Kings,Utah Jazz,13 March 2016,L
Los Angeles Lakers,New York Knicks,13 March 2016,L
Brooklyn Nets,Milwaukee Bucks,13 March 2016,L
LA Clippers,Cleveland Cavaliers,13 March 2016,L
Golden State Warriors,New Orleans Pelicans,14 March 2016,W
Phoenix Suns,Minnesota Timberwolves,14 March 2016,W
Houston Rockets,Memphis Grizzlies,14 March 2016,W
Toronto Raptors,Chicago Bulls,14 March 2016,L
Miami Heat,Denver Nuggets,14 March 2016,W
Utah Jazz,Cleveland Cavaliers,14 March 2016,W
Oklahoma City Thunder,Portland Trail Blazers,14 March 2016,W
Washington Wizards,Detroit Pistons,14 March 2016,W
Charlotte Hornets,Dallas Mavericks,14 March 2016,L
Milwaukee Bucks,Toronto Raptors,15 March 2016,L
San Antonio Spurs,LA Clippers,15 March 2016,W
Los Angeles Lakers,Sacramento Kings,15 March 2016,L
Indiana Pacers,Boston Celtics,15 March 2016,W
Brooklyn Nets,Philadelphia 76ers,15 March 2016,W
Orlando Magic,Denver Nuggets,15 March 2016,W
Detroit Pistons,Atlanta Hawks,16 March 2016,L
Boston Celtics,Oklahoma City Thunder,16 March 2016,L
Washington Wizards,Chicago Bulls,16 March 2016,W
Golden State Warriors,New York Knicks,16 March 2016,W
Cleveland Cavaliers,Dallas Mavericks,16 March 2016,W
Charlotte Hornets,Orlando Magic,16 March 2016,W
Sacramento Kings,New Orleans Pelicans,16 March 2016,L
Memphis Grizzlies,Minnesota Timberwolves,16 March 2016,L
Houston Rockets,LA Clippers,16 March 2016,L
Indiana Pacers,Toronto Raptors,17 March 2016,L
Milwaukee Bucks,Memphis Grizzlies,17 March 2016,W
Atlanta Hawks,Denver Nuggets,17 March 2016,W
Chicago Bulls,Brooklyn Nets,17 March 2016,W
Utah Jazz,Phoenix Suns,17 March 2016,W
San Antonio Spurs,Portland Trail Blazers,17 March 2016,W
Philadelphia 76ers,Washington Wizards,17 March 2016,L
Miami Heat,Charlotte Hornets,17 March 2016,L
Detroit Pistons,Sacramento Kings,18 March 2016,W
Toronto Raptors,Boston Celtics,18 March 2016,W
Houston Rockets,Minnesota Timberwolves,18 March 2016,W
Philadelphia 76ers,Oklahoma City Thunder,18 March 2016,L
Los Angeles Lakers,Phoenix Suns,18 March 2016,L
Dallas Mavericks,Golden State Warriors,18 March 2016,L
New Orleans Pelicans,Portland Trail Blazers,18 March 2016,L
Orlando Magic,Cleveland Cavaliers,18 March 2016,L
Indiana Pacers,Oklahoma City Thunder,19 March 2016,L
Washington Wizards,New York Knicks,19 March 2016,W
Charlotte Hornets,Denver Nuggets,19 March 2016,L
Miami Heat,Cleveland Cavaliers,19 March 2016,W
Chicago Bulls,Utah Jazz,19 March 2016,W
Detroit Pistons,Brooklyn Nets,19 March 2016,W
Atlanta Hawks,Houston Rockets,19 March 2016,W
San Antonio Spurs,Golden State Warriors,19 March 2016,W
Memphis Grizzlies,LA Clippers,19 March 2016,W
New York Knicks,Sacramento Kings,20 March 2016,L
New Orleans Pelicans,LA Clippers,20 March 2016,W
Dallas Mavericks,Portland Trail Blazers,20 March 2016,W
Milwaukee Bucks,Utah Jazz,20 March 2016,L
Toronto Raptors,Orlando Magic,20 March 2016,W
Philadelphia 76ers,Boston Celtics,20 March 2016,L
Phoenix Suns,Memphis Grizzlies,21 March 2016,L
Indiana Pacers,Philadelphia 76ers,21 March 2016,W
Charlotte Hornets,San Antonio Spurs,21 March 2016,W
Chicago Bulls,Sacramento Kings,21 March 2016,W
Minnesota Timberwolves,Golden State Warriors,21 March 2016,L
Boston Celtics,Orlando Magic,21 March 2016,W
Detroit Pistons,Milwaukee Bucks,21 March 2016,W
Cleveland Cavaliers,Denver Nuggets,21 March 2016,W
Atlanta Hawks,Washington Wizards,21 March 2016,L
Los Angeles Lakers,Memphis Grizzlies,22 March 2016,W
New Orleans Pelicans,Miami Heat,22 March 2016,L
Brooklyn Nets,Charlotte Hornets,22 March 2016,L
Oklahoma City Thunder,Houston Rockets,22 March 2016,W
Denver Nuggets,Philadelphia 76ers,23 March 2016,W
Phoenix Suns,Los Angeles Lakers,23 March 2016,W
Golden State Warriors,LA Clippers,23 March 2016,W
Minnesota Timberwolves,Sacramento Kings,23 March 2016,W
San Antonio Spurs,Miami Heat,23 March 2016,W
Washington Wizards,Atlanta Hawks,23 March 2016,L
Cleveland Cavaliers,Milwaukee Bucks,23 March 2016,W
Portland Trail Blazers,Dallas Mavericks,23 March 2016,W
Houston Rockets,Utah Jazz,23 March 2016,L
Chicago Bulls,New York Knicks,23 March 2016,L
Boston Celtics,Toronto Raptors,23 March 2016,W
Detroit Pistons,Orlando Magic,23 March 2016,W
LA Clippers,Portland Trail Blazers,24 March 2016,W
Oklahoma City Thunder,Utah Jazz,24 March 2016,W
Indiana Pacers,New Orleans Pelicans,24 March 2016,W
Brooklyn Nets,Cleveland Cavaliers,24 March 2016,W
New York Knicks,Chicago Bulls,24 March 2016,W
Los Angeles Lakers,Denver Nuggets,25 March 2016,L
Houston Rockets,Toronto Raptors,25 March 2016,W
San Antonio Spurs,Memphis Grizzlies,25 March 2016,W
Miami Heat,Orlando Magic,25 March 2016,W
Detroit Pistons,Charlotte Hornets,25 March 2016,W
Golden State Warriors,Dallas Mavericks,25 March 2016,W
Sacramento Kings,Phoenix Suns,25 March 2016,W
Washington Wizards,Minnesota Timberwolves,25 March 2016,L
Atlanta Hawks,Milwaukee Bucks,25 March 2016,W
Minnesota Timberwolves,Utah Jazz,26 March 2016,L
Orlando Magic,Chicago Bulls,26 March 2016,W
Brooklyn Nets,Indiana Pacers,26 March 2016,W
Phoenix Suns,Boston Celtics,26 March 2016,L
Portland Trail Blazers,Philadelphia 76ers,26 March 2016,W
Oklahoma City Thunder,San Antonio Spurs,26 March 2016,W
New Orleans Pelicans,Toronto Raptors,26 March 2016,L
Milwaukee Bucks,Charlotte Hornets,26 March 2016,L
New York Knicks,Cleveland Cavaliers,26 March 2016,L
Detroit Pistons,Atlanta Hawks,26 March 2016,L
Sacramento Kings,Dallas Mavericks,27 March 2016,W
LA Clippers,Denver Nuggets,27 March 2016,W
Golden State Warriors,Philadelphia 76ers,27 March 2016,W
Indiana Pacers,Houston Rockets,27 March 2016,W
Los Angeles Lakers,Washington Wizards,27 March 2016,L
Toronto Raptors,Oklahoma City Thunder,28 March 2016,L
Portland Trail Blazers,Sacramento Kings,28 March 2016,W
Minnesota Timberwolves,Phoenix Suns,28 March 2016,W
LA Clippers,Boston Celtics,28 March 2016,W
Miami Heat,Brooklyn Nets,28 March 2016,W
Denver Nuggets,Dallas Mavericks,28 March 2016,L
Chicago Bulls,Atlanta Hawks,28 March 2016,L
Memphis Grizzlies,San Antonio Spurs,28 March 2016,L
New Orleans Pelicans,New York Knicks,28 March 2016,W
Utah Jazz,Los Angeles Lakers,28 March 2016,W
Philadelphia 76ers,Charlotte Hornets,29 March 2016,L
Detroit Pistons,Oklahoma City Thunder,29 March 2016,W
Golden State Warriors,Washington Wizards,29 March 2016,W
Cleveland Cavaliers,Houston Rockets,29 March 2016,L
Orlando Magic,Brooklyn Nets,29 March 2016,W
Indiana Pacers,Chicago Bulls,29 March 2016,L
Los Angeles Lakers,Miami Heat,30 March 2016,W
San Antonio Spurs,New Orleans Pelicans,30 March 2016,W
Minnesota Timberwolves,LA Clippers,30 March 2016,L
Milwaukee Bucks,Phoenix Suns,30 March 2016,W
Memphis Grizzlies,Denver Nuggets,30 March 2016,L
Dallas Mavericks,New York Knicks,30 March 2016,W
Utah Jazz,Golden State Warriors,30 March 2016,L
Toronto Raptors,Atlanta Hawks,30 March 2016,W
Sacramento Kings,Washington Wizards,30 March 2016,W
Oklahoma City Thunder,LA Clippers,31 March 2016,W
New Orleans Pelicans,Denver Nuggets,31 March 2016,W
Indiana Pacers,Orlando Magic,31 March 2016,L
Cleveland Cavaliers,Brooklyn Nets,31 March 2016,W
Houston Rockets,Chicago Bulls,31 March 2016,L
Portland Trail Blazers,Boston Celtics,31 March 2016,W
Atlanta Hawks,Cleveland Cavaliers,01 April 2016,L
Detroit Pistons,Dallas Mavericks,01 April 2016,L
Charlotte Hornets,Philadelphia 76ers,01 April 2016,W
Phoenix Suns,Washington Wizards,01 April 2016,L
Utah Jazz,Minnesota Timberwolves,01 April 2016,W
Memphis Grizzlies,Toronto Raptors,01 April 2016,L
Milwaukee Bucks,Orlando Magic,01 April 2016,W
Sacramento Kings,Miami Heat,01 April 2016,L
New York Knicks,Brooklyn Nets,01 April 2016,W
Golden State Warriors,Boston Celtics,01 April 2016,L
San Antonio Spurs,Toronto Raptors,02 April 2016,W
Philadelphia 76ers,Indiana Pacers,02 April 2016,L
Chicago Bulls,Detroit Pistons,02 April 2016,L
Portland Trail Blazers,Miami Heat,02 April 2016,W
Denver Nuggets,Sacramento Kings,02 April 2016,L
Brooklyn Nets,New Orleans Pelicans,03 April 2016,L
Phoenix Suns,Utah Jazz,03 April 2016,L
LA Clippers,Washington Wizards,03 April 2016,W
Houston Rockets,Oklahoma City Thunder,03 April 2016,W
Golden State Warriors,Portland Trail Blazers,03 April 2016,W
Minnesota Timberwolves,Dallas Mavericks,03 April 2016,L
New York Knicks,Indiana Pacers,03 April 2016,L
Orlando Magic,Memphis Grizzlies,03 April 2016,W
Milwaukee Bucks,Chicago Bulls,03 April 2016,L
Cleveland Cavaliers,Charlotte Hornets,03 April 2016,W
Los Angeles Lakers,Boston Celtics,03 April 2016,L
Golden State Warriors,Minnesota Timberwolves,05 April 2016,L
Miami Heat,Detroit Pistons,05 April 2016,W
Sacramento Kings,Portland Trail Blazers,05 April 2016,L
Utah Jazz,San Antonio Spurs,05 April 2016,L
Atlanta Hawks,Phoenix Suns,05 April 2016,W
Philadelphia 76ers,New Orleans Pelicans,05 April 2016,W
Milwaukee Bucks,Cleveland Cavaliers,05 April 2016,L
Toronto Raptors,Charlotte Hornets,05 April 2016,W
Memphis Grizzlies,Chicago Bulls,05 April 2016,W
Denver Nuggets,Oklahoma City Thunder,05 April 2016,L
LA Clippers,Los Angeles Lakers,05 April 2016,W
Indiana Pacers,Cleveland Cavaliers,06 April 2016,W
Boston Celtics,New Orleans Pelicans,06 April 2016,W
Dallas Mavericks,Houston Rockets,06 April 2016,W
Washington Wizards,Brooklyn Nets,06 April 2016,W
New York Knicks,Charlotte Hornets,06 April 2016,L
Los Angeles Lakers,LA Clippers,06 April 2016,L
Orlando Magic,Detroit Pistons,06 April 2016,L
Portland Trail Blazers,Oklahoma City Thunder,06 April 2016,W
Atlanta Hawks,Toronto Raptors,07 April 2016,W
Miami Heat,Chicago Bulls,07 April 2016,W
Golden State Warriors,San Antonio Spurs,07 April 2016,W
Sacramento Kings,Minnesota Timberwolves,07 April 2016,L
Houston Rockets,Phoenix Suns,07 April 2016,L
Orlando Magic,Miami Heat,08 April 2016,W
Utah Jazz,LA Clippers,08 April 2016,L
Philadelphia 76ers,New York Knicks,08 April 2016,L
Toronto Raptors,Indiana Pacers,08 April 2016,W
New Orleans Pelicans,Los Angeles Lakers,08 April 2016,W
Denver Nuggets,San Antonio Spurs,08 April 2016,W
Detroit Pistons,Washington Wizards,08 April 2016,W
Boston Celtics,Milwaukee Bucks,08 April 2016,W
Charlotte Hornets,Brooklyn Nets,08 April 2016,W
Dallas Mavericks,Memphis Grizzlies,08 April 2016,W
New Orleans Pelicans,Phoenix Suns,09 April 2016,L
Chicago Bulls,Cleveland Cavaliers,09 April 2016,W
Portland Trail Blazers,Minnesota Timberwolves,09 April 2016,L
Memphis Grizzlies,Golden State Warriors,09 April 2016,L
Sacramento Kings,Oklahoma City Thunder,09 April 2016,W
Atlanta Hawks,Boston Celtics,09 April 2016,W
Indiana Pacers,Brooklyn Nets,10 April 2016,W
New York Knicks,Toronto Raptors,10 April 2016,L
Houston Rockets,Los Angeles Lakers,10 April 2016,W
Denver Nuggets,Utah Jazz,10 April 2016,L
Philadelphia 76ers,Milwaukee Bucks,10 April 2016,L
LA Clippers,Dallas Mavericks,10 April 2016,W
San Antonio Spurs,Golden State Warriors,10 April 2016,L
Miami Heat,Orlando Magic,10 April 2016,W
Washington Wizards,Charlotte Hornets,10 April 2016,W
Cleveland Cavaliers,Atlanta Hawks,11 April 2016,W
Utah Jazz,Dallas Mavericks,11 April 2016,L
Orlando Magic,Milwaukee Bucks,11 April 2016,W
Phoenix Suns,Sacramento Kings,11 April 2016,L
Brooklyn Nets,Washington Wizards,11 April 2016,L
Minnesota Timberwolves,Houston Rockets,11 April 2016,L
New Orleans Pelicans,Chicago Bulls,11 April 2016,L
Boston Celtics,Charlotte Hornets,11 April 2016,L
Oklahoma City Thunder,Los Angeles Lakers,11 April 2016,W
Detroit Pistons,Miami Heat,12 April 2016,L
Toronto Raptors,Philadelphia 76ers,12 April 2016,W
San Antonio Spurs,Oklahoma City Thunder,12 April 2016,W
Indiana Pacers,New York Knicks,12 April 2016,W
LA Clippers,Memphis Grizzlies,12 April 2016,W
Los Angeles Lakers,Utah Jazz,13 April 2016,W
Phoenix Suns,LA Clippers,13 April 2016,W
Cleveland Cavaliers,Detroit Pistons,13 April 2016,L
Minnesota Timberwolves,New Orleans Pelicans,13 April 2016,W
Dallas Mavericks,San Antonio Spurs,13 April 2016,L
Portland Trail Blazers,Denver Nuggets,13 April 2016,W
Brooklyn Nets,Toronto Raptors,13 April 2016,L
Charlotte Hornets,Orlando Magic,13 April 2016,W
Milwaukee Bucks,Indiana Pacers,13 April 2016,L
Chicago Bulls,Philadelphia 76ers,13 April 2016,W
Golden State Warriors,Memphis Grizzlies,13 April 2016,W
Houston Rockets,Sacramento Kings,13 April 2016,W
Boston Celtics,Miami Heat,13 April 2016,W
Washington Wizards,Atlanta Hawks,13 April 2016,W
LA Clippers,Denver Nuggets,02 October 2015,W
Indiana Pacers,New Orleans Pelicans,03 October 2015,L
Orlando Magic,Charlotte Hornets,03 October 2015,L
Toronto Raptors,LA Clippers,04 October 2015,W
Miami Heat,Charlotte Hornets,04 October 2015,L
Los Angeles Lakers,Utah Jazz,04 October 2015,L
Golden State Warriors,Toronto Raptors,05 October 2015,W
Portland Trail Blazers,Sacramento Kings,05 October 2015,L
Memphis Grizzlies,Houston Rockets,06 October 2015,W
Detroit Pistons,Indiana Pacers,06 October 2015,L
Chicago Bulls,Milwaukee Bucks,06 October 2015,W
Washington Wizards,Philadelphia 76ers,06 October 2015,W
Dallas Mavericks,Denver Nuggets,06 October 2015,L
Houston Rockets,Dallas Mavericks,07 October 2015,W
Minnesota Timberwolves,Oklahoma City Thunder,07 October 2015,L
Phoenix Suns,Sacramento Kings,07 October 2015,W
Cleveland Cavaliers,Atlanta Hawks,07 October 2015,L
Miami Heat,Orlando Magic,07 October 2015,L
Los Angeles Lakers,Utah Jazz,07 October 2015,L
Philadelphia 76ers,Cleveland Cavaliers,08 October 2015,W
Indiana Pacers,Orlando Magic,08 October 2015,W
Los Angeles Lakers,Toronto Raptors,08 October 2015,L
Sacramento Kings,San Antonio Spurs,08 October 2015,W
Denver Nuggets,Chicago Bulls,08 October 2015,W
Detroit Pistons,Brooklyn Nets,08 October 2015,L
Portland Trail Blazers,Golden State Warriors,08 October 2015,W
New Orleans Pelicans,Atlanta Hawks,09 October 2015,L
Washington Wizards,New York Knicks,09 October 2015,L
Phoenix Suns,Utah Jazz,09 October 2015,W
Milwaukee Bucks,Detroit Pistons,10 October 2015,L
Sacramento Kings,Portland Trail Blazers,10 October 2015,W
Philadelphia 76ers,Brooklyn Nets,10 October 2015,W
Minnesota Timberwolves,Chicago Bulls,10 October 2015,L
Houston Rockets,Orlando Magic,11 October 2015,L
Charlotte Hornets,LA Clippers,11 October 2015,W
Utah Jazz,Portland Trail Blazers,12 October 2015,L
Cleveland Cavaliers,Memphis Grizzlies,12 October 2015,L
Chicago Bulls,New Orleans Pelicans,12 October 2015,L
Miami Heat,San Antonio Spurs,12 October 2015,W
New York Knicks,Philadelphia 76ers,12 October 2015,W
Toronto Raptors,Minnesota Timberwolves,12 October 2015,W
Indiana Pacers,Detroit Pistons,13 October 2015,W
Cleveland Cavaliers,Milwaukee Bucks,13 October 2015,L
Oklahoma City Thunder,Dallas Mavericks,13 October 2015,W
Golden State Warriors,Denver Nuggets,13 October 2015,L
Los Angeles Lakers,Sacramento Kings,13 October 2015,L
Orlando Magic,Miami Heat,13 October 2015,W
Phoenix Suns,Houston Rockets,13 October 2015,L
Minnesota Timberwolves,Toronto Raptors,14 October 2015,W
Atlanta Hawks,San Antonio Spurs,14 October 2015,W
Chicago Bulls,Detroit Pistons,14 October 2015,L
Brooklyn Nets,Boston Celtics,14 October 2015,L
LA Clippers,Charlotte Hornets,14 October 2015,L
Golden State Warriors,Houston Rockets,15 October 2015,W
Cleveland Cavaliers,Indiana Pacers,15 October 2015,L
Dallas Mavericks,Atlanta Hawks,16 October 2015,L
Denver Nuggets,Phoenix Suns,16 October 2015,W
Memphis Grizzlies,Oklahoma City Thunder,16 October 2015,W
Philadelphia 76ers,Washington Wizards,16 October 2015,L
New York Knicks,Boston Celtics,16 October 2015,W
Milwaukee Bucks,Washington Wizards,17 October 2015,L
Charlotte Hornets,New York Knicks,17 October 2015,W
Houston Rockets,Miami Heat,17 October 2015,L
New Orleans Pelicans,Sacramento Kings,17 October 2015,L
Los Angeles Lakers,Golden State Warriors,17 October 2015,W
Memphis Grizzlies,Minnesota Timberwolves,18 October 2015,W
Oklahoma City Thunder,Denver Nuggets,18 October 2015,W
Portland Trail Blazers,Utah Jazz,18 October 2015,W
Atlanta Hawks,Miami Heat,18 October 2015,L
Brooklyn Nets,Philadelphia 76ers,18 October 2015,W
Toronto Raptors,Cleveland Cavaliers,18 October 2015,W
San Antonio Spurs,Detroit Pistons,18 October 2015,W
Los Angeles Lakers,Portland Trail Blazers,19 October 2015,W
Houston Rockets,New Orleans Pelicans,19 October 2015,W
Charlotte Hornets,Chicago Bulls,19 October 2015,W
Boston Celtics,Brooklyn Nets,19 October 2015,W
Cleveland Cavaliers,Dallas Mavericks,19 October 2015,W
Milwaukee Bucks,Minnesota Timberwolves,20 October 2015,W
San Antonio Spurs,Phoenix Suns,20 October 2015,L
Utah Jazz,Oklahoma City Thunder,20 October 2015,L
Chicago Bulls,Indiana Pacers,20 October 2015,W
LA Clippers,Golden State Warriors,20 October 2015,W
Orlando Magic,New Orleans Pelicans,21 October 2015,W
Dallas Mavericks,Phoenix Suns,21 October 2015,L
Atlanta Hawks,Memphis Grizzlies,21 October 2015,L
Miami Heat,Washington Wizards,21 October 2015,W
Detroit Pistons,Charlotte Hornets,21 October 2015,L
Boston Celtics,New York Knicks,22 October 2015,W
Indiana Pacers,Charlotte Hornets,22 October 2015,W
Utah Jazz,Denver Nuggets,22 October 2015,W
LA Clippers,Portland Trail Blazers,22 October 2015,W
Los Angeles Lakers,Golden State Warriors,22 October 2015,L
Boston Celtics,Philadelphia 76ers,23 October 2015,W
Minnesota Timberwolves,Milwaukee Bucks,23 October 2015,W
Orlando Magic,Memphis Grizzlies,23 October 2015,W
Chicago Bulls,Dallas Mavericks,23 October 2015,W
Detroit Pistons,Atlanta Hawks,23 October 2015,W
New Orleans Pelicans,Miami Heat,23 October 2015,W
San Antonio Spurs,Houston Rockets,23 October 2015,W
Toronto Raptors,Washington Wizards,23 October 2015,W
Golden State Warriors,Houston Rockets,16 April 2016,W
Toronto Raptors,Indiana Pacers,16 April 2016,L
Atlanta Hawks,Boston Celtics,16 April 2016,W
Oklahoma City Thunder,Dallas Mavericks,16 April 2016,W
Cleveland Cavaliers,Detroit Pistons,17 April 2016,W
LA Clippers,Portland Trail Blazers,17 April 2016,W
San Antonio Spurs,Memphis Grizzlies,17 April 2016,W
Miami Heat,Charlotte Hornets,17 April 2016,W
Golden State Warriors,Houston Rockets,18 April 2016,W
Oklahoma City Thunder,Dallas Mavericks,18 April 2016,L
Toronto Raptors,Indiana Pacers,18 April 2016,W
San Antonio Spurs,Memphis Grizzlies,19 April 2016,W
Atlanta Hawks,Boston Celtics,19 April 2016,W
Cleveland Cavaliers,Detroit Pistons,20 April 2016,W
LA Clippers,Portland Trail Blazers,20 April 2016,W
Miami Heat,Charlotte Hornets,20 April 2016,W
Indiana Pacers,Toronto Raptors,21 April 2016,L
Houston Rockets,Golden State Warriors,21 April 2016,W
Dallas Mavericks,Oklahoma City Thunder,21 April 2016,L
Boston Celtics,Atlanta Hawks,22 April 2016,W
Memphis Grizzlies,San Antonio Spurs,22 April 2016,L
Detroit Pistons,Cleveland Cavaliers,22 April 2016,L
Portland Trail Blazers,LA Clippers,23 April 2016,W
Dallas Mavericks,Oklahoma City Thunder,23 April 2016,L
Charlotte Hornets,Miami Heat,23 April 2016,W
Indiana Pacers,Toronto Raptors,23 April 2016,W
Boston Celtics,Atlanta Hawks,24 April 2016,W
Houston Rockets,Golden State Warriors,24 April 2016,L
Detroit Pistons,Cleveland Cavaliers,24 April 2016,L
Memphis Grizzlies,San Antonio Spurs,24 April 2016,L
