home_team,away_team,game_date,home_result
St. Louis Bombers,Washington Capitols,08 February 1947,L
New York Knicks,Toronto Huskies,08 February 1947,W
Chicago Stags,Washington Capitols,09 February 1947,W
Cleveland Rebels,Detroit Falcons,09 February 1947,L
Pittsburgh Ironmen,Washington Capitols,10 February 1947,W
Philadelphia Warriors,St. Louis Bombers,11 February 1947,W
Cleveland Rebels,Providence Steamrollers,11 February 1947,W
Detroit Falcons,Providence Steamrollers,12 February 1947,W
New York Knicks,Washington Capitols,12 February 1947,W
Pittsburgh Ironmen,Chicago Stags,12 February 1947,L
Philadelphia Warriors,Cleveland Rebels,13 February 1947,W
Boston Celtics,St. Louis Bombers,13 February 1947,W
Chicago Stags,Providence Steamrollers,13 February 1947,W
Toronto Huskies,Pittsburgh Ironmen,14 February 1947,W
Washington Capitols,Philadelphia Warriors,15 February 1947,W
New York Knicks,Cleveland Rebels,15 February 1947,L
Providence Steamrollers,Pittsburgh Ironmen,15 February 1947,W
Detroit Falcons,New York Knicks,16 February 1947,L
Cleveland Rebels,Philadelphia Warriors,16 February 1947,W
St. Louis Bombers,Toronto Huskies,16 February 1947,W
Chicago Stags,Boston Celtics,16 February 1947,W
Pittsburgh Ironmen,Detroit Falcons,17 February 1947,W
Cleveland Rebels,Boston Celtics,18 February 1947,W
Toronto Huskies,St. Louis Bombers,18 February 1947,W
Detroit Falcons,Boston Celtics,19 February 1947,L
Washington Capitols,Toronto Huskies,19 February 1947,W
New York Knicks,Providence Steamrollers,19 February 1947,L
Providence Steamrollers,Washington Capitols,20 February 1947,L
Philadelphia Warriors,Pittsburgh Ironmen,20 February 1947,W
Chicago Stags,Detroit Falcons,20 February 1947,L
St. Louis Bombers,Chicago Stags,21 February 1947,W
Toronto Huskies,Boston Celtics,21 February 1947,W
New York Knicks,Pittsburgh Ironmen,21 February 1947,W
Washington Capitols,Pittsburgh Ironmen,22 February 1947,W
Providence Steamrollers,Cleveland Rebels,22 February 1947,W
Cleveland Rebels,Washington Capitols,23 February 1947,L
Boston Celtics,Providence Steamrollers,23 February 1947,L
Detroit Falcons,Toronto Huskies,23 February 1947,W
Chicago Stags,New York Knicks,23 February 1947,W
St. Louis Bombers,Philadelphia Warriors,23 February 1947,W
Pittsburgh Ironmen,Philadelphia Warriors,24 February 1947,L
Washington Capitols,Boston Celtics,24 February 1947,W
Cleveland Rebels,St. Louis Bombers,25 February 1947,L
Toronto Huskies,Providence Steamrollers,25 February 1947,W
Philadelphia Warriors,St. Louis Bombers,26 February 1947,W
Pittsburgh Ironmen,Cleveland Rebels,26 February 1947,L
New York Knicks,Washington Capitols,26 February 1947,L
Detroit Falcons,Chicago Stags,26 February 1947,L
Providence Steamrollers,New York Knicks,27 February 1947,L
Toronto Huskies,Philadelphia Warriors,28 February 1947,W
Boston Celtics,Cleveland Rebels,28 February 1947,W
New York Knicks,Toronto Huskies,01 March 1947,W
Providence Steamrollers,Detroit Falcons,01 March 1947,W
Washington Capitols,Boston Celtics,01 March 1947,W
Chicago Stags,St. Louis Bombers,02 March 1947,W
Cleveland Rebels,Philadelphia Warriors,02 March 1947,W
St. Louis Bombers,Providence Steamrollers,03 March 1947,W
Philadelphia Warriors,Toronto Huskies,03 March 1947,W
Pittsburgh Ironmen,Chicago Stags,03 March 1947,L
Cleveland Rebels,Providence Steamrollers,04 March 1947,W
Washington Capitols,Detroit Falcons,05 March 1947,W
Pittsburgh Ironmen,Toronto Huskies,05 March 1947,L
Chicago Stags,Pittsburgh Ironmen,06 March 1947,W
Philadelphia Warriors,New York Knicks,06 March 1947,L
Boston Celtics,Detroit Falcons,06 March 1947,W
Toronto Huskies,Washington Capitols,07 March 1947,L
Chicago Stags,Providence Steamrollers,08 March 1947,W
New York Knicks,Detroit Falcons,08 March 1947,W
Boston Celtics,Toronto Huskies,08 March 1947,W
Washington Capitols,St. Louis Bombers,08 March 1947,W
Cleveland Rebels,Chicago Stags,09 March 1947,L
Boston Celtics,Providence Steamrollers,10 March 1947,L
Cleveland Rebels,Pittsburgh Ironmen,11 March 1947,W
Toronto Huskies,St. Louis Bombers,11 March 1947,W
Philadelphia Warriors,Washington Capitols,11 March 1947,L
Boston Celtics,Toronto Huskies,12 March 1947,W
Detroit Falcons,Cleveland Rebels,12 March 1947,L
Chicago Stags,Washington Capitols,13 March 1947,L
Providence Steamrollers,Toronto Huskies,13 March 1947,W
Philadelphia Warriors,Boston Celtics,13 March 1947,W
New York Knicks,St. Louis Bombers,13 March 1947,W
Chicago Stags,Philadelphia Warriors,14 March 1947,W
Washington Capitols,New York Knicks,14 March 1947,W
Providence Steamrollers,St. Louis Bombers,14 March 1947,W
Cleveland Rebels,New York Knicks,16 March 1947,L
Detroit Falcons,Philadelphia Warriors,16 March 1947,L
Boston Celtics,Cleveland Rebels,18 March 1947,L
Toronto Huskies,Pittsburgh Ironmen,18 March 1947,L
Detroit Falcons,St. Louis Bombers,18 March 1947,L
Washington Capitols,Providence Steamrollers,19 March 1947,W
Pittsburgh Ironmen,St. Louis Bombers,19 March 1947,L
Chicago Stags,New York Knicks,19 March 1947,L
Providence Steamrollers,Cleveland Rebels,20 March 1947,W
Philadelphia Warriors,Detroit Falcons,20 March 1947,W
St. Louis Bombers,New York Knicks,20 March 1947,W
Toronto Huskies,Chicago Stags,21 March 1947,L
Providence Steamrollers,Philadelphia Warriors,22 March 1947,L
Chicago Stags,Cleveland Rebels,22 March 1947,L
Washington Capitols,New York Knicks,22 March 1947,L
Detroit Falcons,Pittsburgh Ironmen,22 March 1947,W
Cleveland Rebels,Detroit Falcons,23 March 1947,W
St. Louis Bombers,Toronto Huskies,23 March 1947,W
Boston Celtics,Chicago Stags,24 March 1947,L
Pittsburgh Ironmen,New York Knicks,24 March 1947,L
Cleveland Rebels,Boston Celtics,25 March 1947,W
New York Knicks,Providence Steamrollers,26 March 1947,W
Washington Capitols,Chicago Stags,26 March 1947,W
Detroit Falcons,St. Louis Bombers,26 March 1947,L
Pittsburgh Ironmen,Boston Celtics,26 March 1947,L
Philadelphia Warriors,Chicago Stags,27 March 1947,W
Toronto Huskies,New York Knicks,28 March 1947,W
St. Louis Bombers,Boston Celtics,29 March 1947,W
Detroit Falcons,Toronto Huskies,29 March 1947,W
Washington Capitols,Cleveland Rebels,29 March 1947,W
Providence Steamrollers,Chicago Stags,29 March 1947,W
Philadelphia Warriors,New York Knicks,30 March 1947,W
Cleveland Rebels,Boston Celtics,30 March 1947,L
Chicago Stags,St. Louis Bombers,31 March 1947,W
Cleveland Rebels,New York Knicks,02 April 1947,W
Washington Capitols,Chicago Stags,02 April 1947,L
Philadelphia Warriors,St. Louis Bombers,02 April 1947,W
Washington Capitols,Chicago Stags,03 April 1947,L
St. Louis Bombers,Philadelphia Warriors,05 April 1947,W
New York Knicks,Cleveland Rebels,05 April 1947,W
St. Louis Bombers,Philadelphia Warriors,06 April 1947,L
Chicago Stags,Washington Capitols,08 April 1947,W
New York Knicks,Cleveland Rebels,09 April 1947,W
Washington Capitols,Chicago Stags,10 April 1947,W
Philadelphia Warriors,New York Knicks,12 April 1947,W
Chicago Stags,Washington Capitols,12 April 1947,L
Chicago Stags,Washington Capitols,13 April 1947,W
New York Knicks,Philadelphia Warriors,14 April 1947,L
Philadelphia Warriors,Chicago Stags,16 April 1947,W
Philadelphia Warriors,Chicago Stags,17 April 1947,W
Chicago Stags,Philadelphia Warriors,19 April 1947,L
Chicago Stags,Philadelphia Warriors,20 April 1947,W
Philadelphia Warriors,Chicago Stags,22 April 1947,W
Washington Capitols,Baltimore Bullets,12 November 1947,W
Chicago Stags,St. Louis Bombers,13 November 1947,W
Philadelphia Warriors,Providence Steamrollers,13 November 1947,W
Baltimore Bullets,Boston Celtics,13 November 1947,W
New York Knicks,Washington Capitols,13 November 1947,W
Boston Celtics,Philadelphia Warriors,14 November 1947,L
Boston Celtics,Washington Capitols,15 November 1947,W
Chicago Stags,Baltimore Bullets,15 November 1947,L
New York Knicks,St. Louis Bombers,15 November 1947,W
Providence Steamrollers,Philadelphia Warriors,15 November 1947,L
Providence Steamrollers,New York Knicks,18 November 1947,L
Boston Celtics,St. Louis Bombers,18 November 1947,L
New York Knicks,Chicago Stags,19 November 1947,L
Washington Capitols,Philadelphia Warriors,19 November 1947,W
St. Louis Bombers,Providence Steamrollers,20 November 1947,W
Baltimore Bullets,New York Knicks,20 November 1947,W
Chicago Stags,Washington Capitols,20 November 1947,W
Philadelphia Warriors,Boston Celtics,20 November 1947,L
Boston Celtics,Baltimore Bullets,21 November 1947,L
St. Louis Bombers,Washington Capitols,22 November 1947,W
New York Knicks,Philadelphia Warriors,22 November 1947,L
Baltimore Bullets,Chicago Stags,22 November 1947,W
Boston Celtics,Providence Steamrollers,22 November 1947,W
Boston Celtics,New York Knicks,25 November 1947,L
Washington Capitols,St. Louis Bombers,26 November 1947,W
New York Knicks,Boston Celtics,26 November 1947,L
Philadelphia Warriors,New York Knicks,27 November 1947,L
Providence Steamrollers,Baltimore Bullets,27 November 1947,L
Chicago Stags,Philadelphia Warriors,28 November 1947,W
Boston Celtics,Washington Capitols,28 November 1947,W
St. Louis Bombers,Baltimore Bullets,29 November 1947,L
Washington Capitols,Providence Steamrollers,29 November 1947,L
New York Knicks,Washington Capitols,01 December 1947,L
